Timestamp,Do you agree to participate in this research?,"A video tutorial for User Evaluation: 
https://www.youtube.com/watch?v=0MkXjz92vcc
Have you watched it?",What is your age range?,"Are you aware of any visual difficulties you may have? If so, please select the corresponding option(s):","What is your most relevant academic title/function? If more than one option applies, choose the one you consider the most appropriate.",What is your main field of study?,Indicate the level of prior knowledge in the following areas: [Data Visualization],Indicate the level of prior knowledge in the following areas: [Human-Computer Interaction],Indicate the level of prior knowledge in the following areas: [Graphs/Networks],Please add the time now to indicate when you started answering the quiz:,Usually students from the same grade (same year) interact more with themselves than others. Can you find the merge of grade 3 (classes 3A and 3B)?,Indicate a timeslice where a teacher connects to 4 other teachers:,"In the ""Global View"", observe the community at position (D, 7). This community is composed mainly of students from the following class:","The ""Global View"" community (J, 3) is made up of the teacher and students from the class 2B. In the next instant of time (4), what happens to this community?","At the ""Global view"" click at the community at position (B, 6). Now explore the ""Node-link Diagram"" view of this community. How many nodes that belong to grade 3B are in the community at the position (B, 6)?","What is the ID of the student from class 1A that is present in the community at the position (D, 5)?","How many connections (edges) does the node from class 1B have in the community at the position (H, 6)?",Looking at the communities at time slices 5 and 6 can you distinguish that these time slices approximately comprise the lunch break?,"There is a student from class 5B who is not active during the second part of the day (after the lunch break, between timeslices 7 and 10). Can you find the ID of this student?",There is a class without any teacher for two consecutive timeslices before lunch. Which class is that and in which timeslices?,Is there any pattern among the classes and grades during the lunch break (time slices 5 and 6)?  ,"Find the teacher that interacts with students of three different classes (4A, 5A, 5B) before lunch break.","Based on the school network presented, do you think it is possible to find other patterns besides those previously mentioned? If so, describe any that you consider relevant and say which part of the visualization helped you to discover it (Optional):",The system is intuitive and easy to use.,The system is useful.,The system is fast (interactions work in a satisfactory time).,"Rate: [The ""Global View"" is useful and helped to analyze the network.]","Rate: [The ""Node-link diagram"" view is useful and helped to analyze the network.]","In your opinion, what are the most useful visual features offered by the system? Why?",What other visual features do you think could be useful if incorporated into the system? Why?,Do you have any final comments? (Optional),Please add the time now to indicate when you finished answering the quiz:,"Rate: [The doughnut chart representing attributes of nodes of each community at the ""Global view"" is useful and helped to analyze the network.]","Rate: [The node selection functionality from the ""Node-link diagram"" that highlights node's activity at the ""Global view"" is useful and helped to analyze the network.]",time delta (minutes),Column 35
4/1/2025 17:09:22,I voluntarily accept to participate in the research mentioned above.,Yes,Between 25 and 34 years old,I am not aware of any,I am doing my Bachelor's Degree,Computer Science,None,Basic,Basic,4:38:00 PM,"(A, 3) line A, timeslice 3",,4A,Students from classes 2A and 4B join the community,,1768,1,,1428,"teacher for students of class 4B, timeslices 1 and 2",There seems to be a pattern where communities with mixed grades tend to group up to some capacity during lunch break. (e.g. A3 has 3B and 3A which also show up during lunch break together),1668,,I agree,I agree,I agree,I strongly agree,I agree,I think the global view is the most impactful in its current state. It is easy to see the charts and what communities look like and what groups belong to the communities.,"Some sort of filtering feature. For example, in my case I had to click each individual node in a community to figure out what node ID was not present in a given time period. Some sort of search functionality that could do some highlights as to which node or community the filter applies to.",,5:09:00 PM,I agree,I strongly agree,31,
4/2/2025 9:19:58,I voluntarily accept to participate in the research mentioned above.,Yes,Between 25 and 34 years old,Color Blindness,I am doing my Bachelor's Degree,Media Technology,Basic,Advanced,Basic,9:07:00 AM,"(A, 3) line A, timeslice 3",,4A,Students from classes 2A and 4B join the community,,1768,1,,I could not find it,"teacher for students of class 4B, timeslices 1 and 2",Mixed groups,1668,,I agree,I can't say,I agree,I agree,I can't say,the circle diagrams.,Bigger text for different classes. and node diagram larger to easier see.,Instead of just a label(on hover) Maybe there is possible to have some kind of tooltip box instead. To easier show the information in a larger way. It was pretty hard (to many steps) to find the ID's.,9:19:00 AM,I agree,I agree,12,
4/2/2025 10:27:06,I voluntarily accept to participate in the research mentioned above.,Yes,Between 25 and 34 years old,I am not aware of any,I am doing my Bachelor's Degree,Media Technology,Intermediate,Intermediate,Basic,10:02:00 AM,"(A, 3) line A, timeslice 3",,4A,Students from classes 2A and 4B join the community,,1768,5,,I could not find it,"teacher for students of class 4B, timeslices 1 and 2",smaller communities and a mix between classes,1653,if someone is alone,I agree,I agree,I agree,I agree,I agree,the node link diagram,i don't know,,10:26:00 AM,I can't say,I agree,24,
4/2/2025 14:07:02,I voluntarily accept to participate in the research mentioned above.,Yes,Between 18 and 24 years old,I am not aware of any,I am doing my Bachelor's Degree,Computer Science,Basic,Intermediate,Basic,1:35:00 PM,"(A, 3) line A, timeslice 3",,4A,Students from classes 2A and 4B join the community,,1768,1,,I could not find it,"teacher for students of class 4B, timeslices 1 and 2","During lunch break, there is very little interaction between the students and their teachers but there is a lot of intermingling between students in different classes.",1653,"During lunch break at cell H, 6: There is an interaction between 5 teacher and a student from 1B
After lunch break at cell F, 7: Class 1A appears to join a lecture with Class 1B and a few students from 3A",I agree,I agree,I strongly disagree,I strongly agree,I strongly agree,"The ability to see how communities are preserved and change over time, highlighting nodes in the Global view","Preserving the grid notation while zooming in to the donut chart (Global view)
Updating the node color in the node-link diagram view during color change for consistency",,2:07:00 PM,I strongly agree,I strongly agree,32,
4/2/2025 14:41:49,I voluntarily accept to participate in the research mentioned above.,Yes,Between 18 and 24 years old,I am not aware of any,I am doing my Bachelor's Degree,Computer Science,None,Basic,Basic,2:24:00 PM,"(A, 3) line A, timeslice 3",,4A,Students from classes 2A and 4B join the community,,1768,5,,I could not find it,"teacher for students of class 4B, timeslices 1 and 2","students from the same grade tend to mix more together rather than with other grades. Also, little interaction with teachers",1653,,I agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,How selecting one node in the node link diagram can also show activities in the global diagram,A filter that can specify a grade or timeslice,Very helpful and well done!,2:41:00 PM,I agree,I strongly agree,17,
4/2/2025 17:43:41,I voluntarily accept to participate in the research mentioned above.,Yes,Between 25 and 34 years old,I am not aware of any,I am doing my Bachelor's Degree,Computer Science,Intermediate,Basic,Basic,5:23:00 PM,"(A, 3) line A, timeslice 3",,4A,Students from classes 2A and 4B join the community,,1768,1,,I could not find it,"teacher for students of class 4B, timeslices 1 and 2",Yes,1653,We can analyze that students from lower ages tend to create small communities during lunch break. We can conclude the same for older students.  ,I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,The Node Link Diagram; it gives us detailed information.,Filter by ID,,5:43:00 PM,I agree,I agree,20,
4/3/2025 10:54:40,I voluntarily accept to participate in the research mentioned above.,Yes,Between 35 and 44 years old,I am not aware of any,I am a university professor,Computer Science,Intermediate,Intermediate,Basic,10:30:00 AM,"(A, 3) line A, timeslice 3",,4B,It is divided into two other communities,,I can not tell,1,,I could not find it,I can not tell,25 nodes,I could not find it,,I disagree,I agree,I disagree,I strongly agree,I can't say,"Interactivity, visual appeal","there should be enough info for the user, like the info appears at side bar etc","it was a  good experience, but i felt difficulty without proper intro of this tool.",10:54:00 AM,I agree,I can't say,24,
4/3/2025 12:25:23,I voluntarily accept to participate in the research mentioned above.,Yes,Between 25 and 34 years old,I am not aware of any,I am in postdoctoral studies,Computer Science,Advanced,Advanced,Intermediate,11:36:00 AM,"(A, 3) line A, timeslice 3",,4A,Students from classes 2A and 4B join the community,,1768,1,,1428,"teacher for students of class 4B, timeslices 1 and 2","In timeslice 5, teachers are in D5 but nowhere else, they supervise students from 1A, 4A, 4B, 5A, and 5B. Is this detention? Then in timeslice 6 there are five teachers in H6 supervising only one student. If detention in D5 is excluded then students in classes 5A and 5B generally stay together across lunch break in grid positions C5-C6 and A5-A6 with the exception of one student in position B5/B6.",1653,"Classes 5A and 5B study together before lunch, and during lunch, but they study separately after lunch. This is discovered through the global view.  I used the highlighting feature to look at where teachers are present in which clusters.. Four teachers meet with teacher 1745, and teachers are not present in other communities at grid position 6H. However there are teachers who did not meet with 1745. Teachers in classes 2A and 2B were not present in grid position 6H. This pattern is discovered with the node-link diagram.",I strongly agree,I agree,I strongly agree,I agree,I agree,The global view was the most useful feature because it provides an overview which color codes the students / teachers in each grid position.,"It would be useful to have another view which shows un-clustered individuals, and the total number of individuals in each class / timeslice. It was difficult to see that there were teachers who were not present in grid position 6H, and which teachers were not present. Searching for the student in 5A who was not present after lunch required searching every student. However, students who have gone home could be considered another cluster for this type of analysis. 
Would it be possible to add a highlight on the node link diagram to the connected edges as well as the nodes to show which nodes are connected to the selected node?","I like the use of color coding on the global view, it makes the view easy to read. I found the line thickness showing the count is effective on the node link diagram.  I particularly liked the ability to select students / teachers to see which grid positions that they were in. The grid positions are labeled A1, A2 e.t.c but these labels are the same as the class labels. It took a few moments to get used to the labeling. ",12:20:00 PM,I agree,I strongly agree,44,
4/3/2025 14:03:09,I voluntarily accept to participate in the research mentioned above.,Yes,Between 18 and 24 years old,I am not aware of any,I am doing my Bachelor's Degree,Computer Science,Intermediate,Basic,Intermediate,1:45:00 PM,"(A, 3) line A, timeslice 3",,4A,Students from classes 2A and 4B join the community,,1768,1,,1428,"teacher for students of class 4B, timeslices 1 and 2",they're mainly isolate,1668,,I agree,I can't say,I strongly agree,I agree,I agree,the dragging of the nodes helps with recognizing the connections more efficiently,possibly the connections written somewhere (like in an automatically appearing legend) would be more useful due to increase of usability of the system.,,2:02:00 PM,I agree,I agree,17,
4/3/2025 14:42:32,I voluntarily accept to participate in the research mentioned above.,Yes,Between 18 and 24 years old,I am not aware of any,I am doing my Bachelor's Degree,Computer Science,Basic,Basic,Basic,2:23:00 PM,"(A, 3) line A, timeslice 3",,4A,Students from classes 2A and 4B join the community,,1768,5,,1428,"teacher for students of class 4B, timeslices 1 and 2",The students from grade 1-3 seem to have a lot of connections with each other now and the same goes for grade 4-5 but there are not that many connections between those two groups. Probably grade 1-3 first eat lunch and then have a play break and the grades 4-5 first have a play break and then eat something or vice versa so that the two groups do not really mix,1668,"I do believe that it is possible to find more pattern beside the ones mentioned before. However, I would need more background information to the collected data to find those. I for example find it strange the the sizes of the classes varies so much but i do not know enough about the french primary school system to make sense of it. The varying size is easily spotted by looking at the size of the circles",I agree,I agree,I agree,I strongly agree,I strongly agree,the varies sizes of the circles as well as the different colours for the different classes,I do not have any ideas. maybe more timestamps to see the system in more detail,I personally found it a bit hard in the beginning to get the node link diagram for a specific node since i missed to click directly in the middle of the circle. ,2:42:00 PM,I strongly agree,I strongly agree,19,
4/3/2025 15:26:13,I voluntarily accept to participate in the research mentioned above.,Yes,Between 18 and 24 years old,Color Blindness,I am doing my Bachelor's Degree,Computer Science,Intermediate,Basic,Intermediate,3:00:00 PM,"(A, 3) line A, timeslice 3",,4A,It is divided into two other communities,,1768,1,,1428,"teacher for students of class 4B, timeslices 1 and 2",Theyre always mixed with other classes and/or teachers,1668,Didnt find any relevant patterns,I disagree,I agree,I disagree,I agree,I agree,"The connected nodelink diagram, when clicking a specific node it highlights where that node shows up which i think is useful","A search feature. If you could search for specific node-id's it would speed up the search process by a lot. 

Also, add a feature for colorblind people. As a colorblind person myself (Deut), it was very difficult for me to see the difference between 5A and 1B, 5B and 4A, etc. Especially since the top bar that explains what colours each class represents is so small.","Cool system, could be very useful if done correctly. It was a bit confusing to use, even after watching the video. Looking for a specific node (student id) was tedious, hence me adding that adding a search feature would be beneficial. ",3:26:00 PM,I agree,I strongly agree,26,
4/3/2025 16:43:27,I voluntarily accept to participate in the research mentioned above.,Yes,Between 18 and 24 years old,I am not aware of any,I am doing my Bachelor's Degree,Computer Science,None,None,None,4:03:00 PM,"(A, 3) line A, timeslice 3",,4A,Students from classes 2A and 4B join the community,,1768,1,,1428,"teacher for students of class 4B, timeslices 1 and 2",no,1653,no,I agree,I can't say,I agree,I agree,I strongly agree,That you can see the progress of the communities through time and how they join each other. Also seeing the distribution of different members in different communities.,to set the value of required members that move from one community to the other for a line to be drawn to be lower,I really dislike how in the node-link diagram when the diagram starts to move it keeps on moving and doesnt stop. Makes it really difficult to to select nodes if it picks up speed,4:43:00 PM,I agree,I agree,40,
4/4/2025 10:32:24,I voluntarily accept to participate in the research mentioned above.,Yes,Between 25 and 34 years old,I am not aware of any,I am doing my Bachelor's Degree,Computer Science,Basic,Basic,Intermediate,10:03:00 AM,"(A, 3) line A, timeslice 3",,4A,Students from classes 2A and 4B join the community,,1768,1,,I could not find it,"teacher for students of class 4B, timeslices 1 and 2","Yes. Classes of the same grade, or closely of the same grade, seems to play with each other on the break.",1653," - On some timestamps, we see that classes of the same grade (such as in A3, G1, and G2) have classroom activites together. ",I strongly agree,I agree,I strongly agree,I strongly agree,I strongly agree,"- The colors of the different classes
- The composistion of classes (donughts)",No comment,,10:32:00 AM,I strongly agree,I disagree,29,
4/4/2025 10:59:03,I voluntarily accept to participate in the research mentioned above.,Yes,Between 25 and 34 years old,I am not aware of any,I am doing my Master's Degree,Computer Science,Intermediate,Basic,Intermediate,10:45:00 AM,"(A, 3) line A, timeslice 3",,4A,Students from classes 2A and 4B join the community,,1768,1,,I could not find it,"teacher for students of class 4B, timeslices 1 and 2","yes, classes from the same year tend to sit next to each other",1668,,I agree,I agree,I agree,I agree,I agree,The node selection and the doughnut diagram,A search function where one can click a class and filter out others to make it easy to find stuff,"Clear, easy to use, and useful",10:58:00 AM,I agree,I strongly agree,13,
4/4/2025 11:53:28,I voluntarily accept to participate in the research mentioned above.,Yes,Between 18 and 24 years old,I am not aware of any,I am doing my Bachelor's Degree,Computer Science,Basic,Basic,Basic,11:19:00 AM,"(A, 3) line A, timeslice 3",,4A,Students from classes 2A and 4B join the community,,1768,5,,1428,"teacher for students of class 4B, timeslices 1 and 2",None that were obvious to the naked eye.,1653,"Sure, you can find which classes have the least interactions/participation rate by hover over the group of nodes.",I agree,I strongly agree,I strongly agree,I agree,I strongly agree,The representation of the connections between different nodes in the node link diagram.,A search functionality.,N/A,11:53:00 AM,I agree,I agree,34,
4/4/2025 15:45:16,I voluntarily accept to participate in the research mentioned above.,Yes,Between 25 and 34 years old,I am not aware of any,I am doing my Bachelor's Degree,Computer Science,Intermediate,None,Intermediate,3:15:00 PM,"(A, 3) line A, timeslice 3",,4A,Students from classes 2A and 4B join the community,,I can not tell,1,,I could not find it,"teacher for students of class 4B, timeslices 1 and 2",No,1653,,I strongly agree,I strongly agree,I strongly agree,I disagree,I disagree,the doughnut chart,the doughnut chart,,3:45:00 PM,I strongly agree,I strongly agree,30,
4/4/2025 16:26:11,I voluntarily accept to participate in the research mentioned above.,Yes,Between 25 and 34 years old,,I am doing my PhD,Computer Science,Basic,Basic,Basic,3:59:00 PM,"(A, 3) line A, timeslice 3",,4A,Students from classes 2A and 4B join the community,,1768,1,,I could not find it,"teacher for students of class 4B, timeslices 1 and 2",yes,1653,,I disagree,I can't say,I agree,I agree,I agree,The doughnut chart with different colors for different classes that helped me to know which community involve which classes.,I would like to choose for example class 1A from the upper part of global view and all communities and time slices involving it highlights in global view without requiring to do so from node-link diagram.,,4:25:00 PM,I agree,I agree,26,
4/7/2025 10:37:09,I voluntarily accept to participate in the research mentioned above.,Yes,Between 25 and 34 years old,I am not aware of any,I am doing my PhD,Computer Science,Intermediate,Basic,Intermediate,9:58:00 AM,"(A, 3) line A, timeslice 3",,4A,Students from classes 2A and 4B join the community,,1768,1,,1428,"teacher for students of class 4B, timeslices 1 and 2",I am not able to identify patterns in said timeslices,1668,"It is possible to find which students skipped lunch break (or stayed on their own during it, hence not registering any interaction) by interacting with nodes in the ""Node-link Diagram"" and checking if timeslices 5 and 6 are highlighted in the ""Global View"". This might be useful for teachers to understand who has possible difficulties in interacting with other students outside class hours.",I agree,I can't say,I agree,I can't say,I agree,I agree,"This visualization would be definitely improved by adding a third view, let's call it user view, that contains the visual representation of people divided into classes. It should be browseable and completed with a search bar to immediately look for the user of interest and should be linked with the other two views in highlighting the nodes pertaining to the selected user. ","The right-click interaction to reset the ""Global View"" from the highlight can definitely be improved with a GUI button. The rows don't have any specific meaning, maybe an ordering of some sort can be introduced. The closed-answer questions somehow made me complete the survey by ""reverse engineering"" the answer rather than actively using the visualization.",10:37:00 AM,I can't say,I strongly agree,39,
4/7/2025 11:15:44,I voluntarily accept to participate in the research mentioned above.,Yes,Between 18 and 24 years old,I am not aware of any,I am doing my Bachelor's Degree,Computer Science,Basic,Basic,Intermediate,10:48:00 AM,"(A, 3) line A, timeslice 3",,4A,Students from classes 2A and 4B join the community,,1768,1,,1428,"teacher for students of class 4B, timeslices 1 and 2",Communities A and C are growing.,1668,"I guess I could find detached nodes from a bigger group (community I timeslice 4), and could confirm that they are not forming a new group with other students from the global view (by the colors), and could confirm that there is no new student added from 5B, using the node-link diagram.",I strongly agree,I agree,I agree,I strongly agree,I strongly agree,"The node selection functionality, although in a larger set of data that might not be as useful as in this example. It was nice to follow through the position of one student.",The representation of detached nodes that are just separated form the bigger group.,"Nice visualization program, cool colors and well-structured.",11:15:00 AM,I strongly agree,I strongly agree,27,
4/7/2025 11:49:13,I voluntarily accept to participate in the research mentioned above.,Yes,Between 18 and 24 years old,I am not aware of any,I am doing my Bachelor's Degree,Computer Science,Basic,Basic,Basic,11:29:00 AM,"(A, 3) line A, timeslice 3",,4A,Students from classes 2A and 4B join the community,,1768,1,,1428,"teacher for students of class 4B, timeslices 1 and 2",the community is small and people from more different groups participates,1668,"Community F and G have more classes with two classes, F and G column tells that",I strongly agree,I strongly agree,I strongly agree,I strongly agree,I strongly agree,click circle to open local view. It can show for example the intersections between teacher and students where teacher is the center and having a lot of edges,"click label at the top (1A, 1B, 2A...) to highlight/focus on all communities having these label",Good software! Brilliant user experiences.,11:49:00 AM,I strongly agree,I strongly agree,20,
4/7/2025 14:00:47,I voluntarily accept to participate in the research mentioned above.,Yes,Between 25 and 34 years old,I am not aware of any,I am doing my Bachelor's Degree,Computer Science,Basic,Basic,Basic,1:45:00 PM,"(L, 9) line L, timeslice 9",,4A,Students from classes 2A and 4B join the community,,1768,1,,1428,"teacher for students of class 4B, timeslices 1 and 2",Interaction occures more often between different grades ?,1653,,I agree,I agree,I can't say,I strongly agree,I agree,The fact that I can select a single node in the diagram and then see all their information as well as their participation in different time slices.,It would be nice to be able to have Node link diagram either in 3D or rotate it in different directions.,,2:02:00 PM,I agree,I strongly agree,17,
